CATAID,LOGIT_CLASS(1-UVUP;0-UVWEAK),REDSHIFT,SERSIC_GALFIT,SERSIC_SEXTRACTOR
15377,0,0.16976,4.1076,4.431803
15756,1,0.12385,6.9936,9.304674
184589,1,0.24304,2.8949,3.912267
487113,0,0.09962,7.3778,4.71892
559977,0,0.13387,3.4451,2.119878
372123,0,0.07123,4.5236,6.413813
496997,0,0.07686,3.1968,4.217711
48560,0,0.13136,4.7637,4.928181
610545,0,0.07747,2.7282,1.262262
526363,0,0.10145,2.1862,1.788359
77705,0,0.05264,3.6645,4.329609
288751,1,0.16166,4.3975,3.480825
536402,1,0.18165,6.0946,4.874792
288877,1,0.07814,5.2603,4.609821
289089,0,0.01638,2.3605,5.931329
289664,0,0.2525,4.7091,5.910366
567972,0,0.18516,3.4884,4.32626
567803,0,0.08333,3.3494,5.215851
85019,0,0.07861,1.851,0.9139426
215289,0,0.0576,3.2036,6.884234
550044,0,0.21398,4.0371,3.922612
23748,0,0.1251,4.3951,4.137262
611581,0,0.17071,2.833,3.057218
319299,0,0.08214,2.8308,1.683929
319067,0,0.05331,3.6873,4.866529
545490,0,0.21661,3.4166,1.263774
48010,0,0.05493,3.2824,4.051705
535486,1,0.11942,2.6843,4.378234
84661,1,0.20258,4.025,4.185905
71468,0,0.18636,7.4663,6.445065
584820,0,0.16299,3.5821,2.193319
196328,0,0.1695,3.4337,2.810647
84675,0,0.1306,4.0991,5.682774
92782,0,0.08637,2.6264,3.384891
85674,0,0.25871,5.299,5.498807
386137,0,0.11055,4.2154,4.183977
98358,1,0.14022,1.9761,1.097893
91697,0,0.05375,3.8198,5.6239
460452,0,0.11441,3.6334,5.321349
376906,0,0.11671,4.5747,2.646738
375649,0,0.14931,3.317,3.653943
324351,1,0.05727,2.4602,2.02735
618133,0,0.05342,5.1946,4.518669
278300,0,0.1928,3.4775,5.197733
505765,0,0.08039,4.4099,8.987242
228708,0,0.09397,3.8912,5.003984
24303,0,0.11314,5.0307,3.810622
62932,0,0.18417,3.6133,4.591374
64123,0,0.21966,6.2003,2.715851
526246,1,0.13687,2.6161,1.913727
527482,0,0.03939,3.9568,4.619434
15410,0,0.27849,5.6247,4.186235
278618,0,0.17735,4.7871,5.976468
272043,0,0.07795,3.5867,3.747544
143845,1,0.25968,4.1831,3.679931
297954,1,0.15983,4.0242,2.059592
296677,0,0.02548,3.5532,3.968963
7687,1,0.20825,2.2502,2.036613
372452,0,0.05264,4.2987,5.714184
376585,0,0.05287,4.2125,2.771215
78120,0,0.27512,1.4412,1.184865
220112,0,0.01968,3.7257,4.340055
239090,0,0.08409,3.4745,3.130888
70844,0,0.11544,4.5874,4.093557
70973,1,0.09937,2.5348,2.140871
463146,1,0.05906,3.0664,1.37992
396874,0,0.07687,2.0111,1.063531
40516,0,0.13088,3.0957,3.423723
204048,0,0.19859,7.0753,3.401639
216219,0,0.09405,5.1087,6.804532
220218,0,0.04772,5.0376,3.587181
388513,0,0.08404,5.0109,6.098164
377410,0,0.05581,2.8246,4.002893
77227,1,0.05439,3.1429,2.819128
549097,0,0.16849,3.5289,3.403681
