CATAID,BPT_CLASS,LOGIT_CLASS(1-UVUP;0-UVWEAK),STELLAR_MASS,UV_CLASS,WHAN(0-NA;1-RP;2-wA;3-sA;4-SF),WHAN_CLASS,Z
534783,Composite,1,10.72347,UV_UPTURN,1,Retired/Passive,0.14035
534813,Composite,0,10.86328,UV_WEAK,1,Retired/Passive,0.15238
535005,NA,0,10.38993,UV_WEAK,0,NA,0.10733
535399,Composite,0,10.32722,UV_WEAK,1,Retired/Passive,0.13834
535457,NA,0,10.00718,UV_WEAK,0,NA,0.0807
535469,LINER,0,10.2941,UV_WEAK,1,Retired/Passive,0.13693
535486,SF,0,10.25747,UV_WEAK,4,SF,0.11954
535568,NA,1,11.07126,UV_UPTURN,4,SF,0.26417
535740,SF,1,10.4104,UV_UPTURN,4,SF,0.12586
536144,NA,0,10.33418,UV_WEAK,1,Retired/Passive,0.11423
536903,SF,1,11.03521,UV_UPTURN,1,Retired/Passive,0.18071
537184,Composite,0,10.59366,UV_WEAK,1,Retired/Passive,0.11947
537539,LINER,0,10.78252,UV_WEAK,2,wAGN,0.19592
543437,NA,0,9.774217,UV_WEAK,0,NA,0.07012
545165,NA,0,10.63681,UV_WEAK,3,sAGN,0.18004
545282,NA,0,11.05081,UV_WEAK,1,Retired/Passive,0.28564
545553,NA,0,11.10141,UV_WEAK,1,Retired/Passive,0.18143
548831,NA,0,10.7197,UV_WEAK,0,NA,0.10816
548954,NA,0,10.71984,UV_WEAK,0,NA,0.08048
549097,NA,0,11.16372,UV_WEAK,4,SF,0.16844
549148,NA,1,11.17905,UV_UPTURN,0,NA,0.20885
549415,SF,0,10.46409,UV_WEAK,4,SF,0.15849
549421,NA,0,10.6864,UV_WEAK,0,NA,0.15435
549527,SF,0,10.39086,UV_WEAK,4,SF,0.15427
549533,SF,1,10.51727,UV_UPTURN,4,SF,0.12683
549748,SF,1,10.70436,UV_UPTURN,4,SF,0.19919
549755,NA,1,10.84125,UV_UPTURN,1,Retired/Passive,0.19758
550038,SF,0,10.36019,UV_WEAK,2,wAGN,0.10606
551515,NA,1,10.64304,UV_UPTURN,4,SF,0.18271
560194,SF,1,10.56101,UV_UPTURN,4,SF,0.12556
560282,NA,1,11.02272,UV_UPTURN,4,SF,0.17944
560345,NA,1,10.66911,UV_UPTURN,1,Retired/Passive,0.1718
560509,Composite,0,10.73382,UV_WEAK,1,Retired/Passive,0.16967
560512,Composite,1,10.67348,UV_UPTURN,1,Retired/Passive,0.16752
560599,Composite,1,10.87339,UV_UPTURN,1,Retired/Passive,0.1518
560985,SF,0,11.28987,UV_WEAK,4,SF,0.2531
561506,NA,1,10.63999,UV_UPTURN,1,Retired/Passive,0.12051
562060,NA,1,10.94946,UV_UPTURN,0,NA,0.25758
567891,NA,0,10.40348,UV_WEAK,0,NA,0.13937
568077,SF,0,10.86078,UV_WEAK,4,SF,0.14649
568249,NA,0,11.00207,UV_WEAK,1,Retired/Passive,0.21296
569109,LINER,1,10.80779,UV_UPTURN,1,Retired/Passive,0.13206
569545,NA,1,11.01459,UV_UPTURN,4,SF,0.21897
569581,Composite,0,10.8796,UV_WEAK,1,Retired/Passive,0.17803
569646,NA,0,10.30153,UV_WEAK,1,Retired/Passive,0.11465
569795,NA,1,10.79542,UV_UPTURN,0,NA,0.3439
574424,Composite,0,10.22053,UV_WEAK,3,sAGN,0.09663
574731,Composite,0,10.12546,UV_WEAK,3,sAGN,0.10475
583575,Composite,1,10.62939,UV_UPTURN,3,sAGN,0.1647
583682,SF,0,10.29787,UV_WEAK,4,SF,0.09269
584518,SF,0,10.31524,UV_WEAK,4,SF,0.10895
585357,Composite,0,10.71645,UV_WEAK,1,Retired/Passive,0.17838
585492,SF,0,11.10064,UV_WEAK,4,SF,0.28813
592524,Composite,1,10.29169,UV_UPTURN,3,sAGN,0.13883
118791,NA,0,10.51301,UV_WEAK,0,NA,0.13585
130737,Composite,1,11.07946,UV_UPTURN,3,sAGN,0.22163
131658,SF,1,10.89948,UV_UPTURN,4,SF,0.17751
